id,card_name,bank_name,url,card_type,interest_rate,max_credit_limit,international_transaction_available,balance_transfer_available,dual_currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward_luxary_resort_hotel,reward_insurance_plan,reward_travel_benefits,reward_fine_dining,reward_buffet_discount,reward_medical_discount,reward_shopping,reward_airlines_ticket,reward_point_program,reward_emi_available
,Sonali Debit Card,Sonali Bank Limited,https://www.sonalibank.com.bd/debit_Card.php,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Janata Debit Card,Janata Bank Limited,http://www.janatabank-bd.com/atm-services/,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Agrani Debit Card,Agrani Bank Limited,https://www.agranibank.org/debit_card.php,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rupali Debit Card,Rupali Bank Limited,http://www.rupalibank.org/,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Krishi Bank Debit Card,Bangladesh Krishi Bank,http://www.krishibank.org.bd/atm-service/,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AB Bank Debit Card,AB Bank,http://abbl.com/ebiz/cards/debit-card/,Debit,0,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,AB Bank World MasterCard,AB Bank,http://abbl.com/ebiz/cards/credit-card/world-master-card/,Credit,,1000000,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1
,AB Bank Titanium MasterCard,AB Bank,http://abbl.com/ebiz/cards/credit-card/titanium-mastercard-credit-card/,Credit,,1000000,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1
,AB Bank Gold MasterCard,AB Bank,http://abbl.com/ebiz/cards/credit-card/gold-card/,Credit,,500000,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1
,Bank Asia Debit Card,Bank Asia Limited,http://www.bankasia-bd.com/home/debit_card,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Bank Asia Visa Classic Local Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_classic_card_local,Credit,2,99000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
,Bank Asia Visa Gold Local Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_gold_card,Credit,2,500000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
,Bank Asia Visa Classic Dual Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_classic_card_dual,Credit,2,99000,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
,Bank Asia Visa Gold Dual Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_gold_dual,Credit,2,500000,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
,Bank Asia Virtual Card,Bank Asia Limited,http://www.bankasia-bd.com/home/virtual_card_service,Virtual Prepaid,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bank Asia SME Card,Bank Asia Limited,http://www.bankasia-bd.com/home/sme_card,Credit,24,1000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bank Asia Visa Butterfly Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_butterfly_card,Credit(Women only),2,500000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,Bank Asia Hajj Card,Bank Asia Limited,http://www.bankasia-bd.com/home/hajj_card,Prepaid International,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brac Bank Signature Card,BRAC Bank Limited,https://www.bracbank.com/signature.php,Credit,0,,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0
,Brac Bank Platinum Card,BRAC Bank Limited,https://www.bracbank.com/platinum.php,Credit,,,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0
,Brac Bank Gold Card,BRAC Bank Limited,https://www.bracbank.com/gold.php,Credit,,,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
,Brac Bank Classic Card,BRAC Bank Limited,https://www.bracbank.com/classic.php,Credit,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
,Brac Bank  Planet Debit Card,BRAC Bank Limited,https://www.bracbank.com/debit-card.php,Debit,0,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
,Brac Bank Hajj Card,BRAC Bank Limited,https://www.bracbank.com/Hajj-Prepaid-Card.php,Prepaid,,28000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brac Bank Travel Card,BRAC Bank Limited,https://www.bracbank.com/Travel-Card.php,Prepaid,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,City Bank Visa Electron Debit Card,City Bank Limited,https://www.thecitybank.com/city_Debit-Card.php,Debit,0,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
,City Bank MasterCard Platinum International Debit Card,City Bank Limited,https://www.thecitybank.com/MasterCard.php,Debit,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,City Bank American Express Credit Card,City Bank Limited,https://www.thecitybank.com/new_Credit_Card.php,Credit,,,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0
,Dhaka Bank Credit Card,Dhaka Bank,https://dhakabankltd.com/credit-card/,Credit,,500000,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0
,Dhaka Bank Debit Card,Dhaka Bank,https://dhakabankltd.com/debit-card/,Debit,,,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
,Dutch Bangla Visa Debit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visadebitcard.html,Debit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dutch Bangla MasterCard Titanium Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/titanium.html,Credit,,2000000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,Dutch Bangla VISA platinum Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/platinum.html,Credit,,2000000,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
,Dutch Bangla VISA Classic Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visaclasicloaclcrdt.html,Credit,,99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Dutch Bangla VISA Gold Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visagoldlocalcredit.html,Credit,,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dutch Bangla VISA classic International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visaclassicinternationalcredit.html,Credit,,99999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Dutch Bangla VISA Gold International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visagoldintcredit.html,Credit,,500000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,Dutch Bangla MasterCard Gold International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/mastergoldlintcredit.html,Credit,,500000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,Dutch Bangla MasterCard Classic Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/masterclassiclocalcredit.html,Credit,,99999,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,Dutch Bangla MasterCard Gold Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/mastergoldlocalclassiccredit.html,Credit,,500000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
